bengali,english_0,english_1,english_2
উদ্ধার,uddhar,,
আহত,ahoto,,
আবার,abar,,
আওয়ামী,awami,,
কমিটির,komitir,,
গ্রেপ্তার,greptar,,
দিয়েছে,diyeche,,
এবার,ebar,,
সম্পাদক,shompadok,,
ঘটনায়,ghotonay,,
কেউ,keu,,
পাঁচ,pach,,
বলেছেন,bolechen,,
থানার,thanar,,
থাকে,thake,,
এলাকার,elakar,,
শতাংশ,shotangsho,,
চেয়ারম্যান,chairman,,
সেখানে,shekhane,,
পুলিশের,policer,,
রোববার,robbar,,
নিহত,nihoto,,
নিতে,nite,,
গ,go,,
ব্যবস্থা,byabostha,,
জানায়,janay,,
সাবেক,shabek,,
সদস্য,shodossho,,
মানুষের,manusher,,
সামনে,shamne,,
চেষ্টা,cheshta,,
নামের,namer,,
যা,za,,
উত্তর,uttor,,
মামলা,mamla,,
বেশ,besh,,
প্রকাশ,prokash,,
জানিয়েছেন,janiyechen,,
সুযোগ,shujog,,
ব্যবহার,byabohar,,
বুধবার,budhbar,,
কলেজ,college,,
বিষয়টি,bishoyti,,
তখন,tokhon,,
এটা,eta,,
অন্য,onno,,
নিশ্চিত,nishchito,,
পারেন,paren,,
এখনো,ekhono,,
মা,ma,,
পানি,pani,,
আলোকে,aloke,,
রাতে,rate,,
হন,hon,,
হাসপাতালে,haspatale,,
শনিবার,shonibar,,
হয়েছিল,hoyechilo,,
যদি,zodi,,
শুধু,shudhu,,
আবদুল,abdul,,
হক,hoq,,
দেয়,dey,,
তদন্ত,todonto,,
বিশেষ,bishesh,,
খান,khan,,
বৃহস্পতিবার,brihoshpotibar,,
সোমবার,shombar,,
খুব,khub,,
যেতে,zete,,
সংবাদ,shongbad,,
ইউনিয়নের,unioner,,
সিদ্ধান্ত,shiddhanto,,
সিটি,city,,
মঙ্গলবার,mongolbar,,
বিভাগের,bivager,bibhager,
পোশাক,poshak,,
আলোচনা,alochona,,
চট্টগ্রাম,chottogram,,
আন্তর্জাতিক,antorjatik,,
সাড়ে,sare,,
অনুযায়ী,onuzayi,,
থাকা,thaka,,
সদর,sodor,,
লীগের,liger,,
নিজের,nijer,,
এরপর,erpor,,
সকালে,shokale,,
চলে,chole,,
আলী,ali,,
সকাল,shokal,,
খবর,khobor,,
চৌধুরী,chowdhury,,
যাচ্ছে,zacche,,
নম্বর,nombor,,
হয়েছেন,hoyechen,,
প্রধানমন্ত্রী,prodhanmontri,,
দিনের,diner,,
চেয়ে,cheye,,
লাশ,lash,,
শেষে,shesh,,
জানতে,jante,,
চলছে,choleche,,
যাওয়ার,zaoar,,
হরতাল,hortal,,
কে,ke,,
রাত,rat,,
রানা,rana,,
শিক্ষক,shikkhok,,
নারী,nari,,
করবে,korbe,,
নামে,name,,
শেখ,sheikh,,
সবচেয়ে,shocheye,,
বেলা,bela,,
নেওয়ার,neoar,,
কয়েক,koyek,,
সূত্র,sutro,,
শিক্ষা,shikkha,,
হওয়া,howa,,
হলেও,holeo,,
সম্ভব,shomvob,,
শুক্রবার,shukrobar,,
বাড়ি,bari,,
দ্বিতীয়,ditiyo,,
কম,kom,,
নির্বাচনে,nirbachone,,
ইসলামের,islamer,,
মেয়র,mayor,,
নানা,nana,,
দায়িত্ব,daitto,,
হাতে,hate,,
পরীক্ষা,porikkha,,
ভবন,vobon,,
মারা,mara,,
রাখা,rakha,,
শ্রমিক,shromik,,
এখানে,ekhane,,
ঘটনার,ghotonar,,
সহকারী,shohokari,,
যেন,zeno,,
করি,kori,,
জানিয়েছে,janiyechen,,
তুলে,tule,,
অবস্থায়,obosthay,,
পাশাপাশি,pashapashi,,
এপ্রিল,april,,
ছেলে,chele,,
বক্তব্য,boktobbo,,
উপস্থিত,uposthit,,
আদালত,adalot,,
দেশ,desh,,
বিশ্ববিদ্যালয়ের,bisshobiddaloyer,,
হেফাজতে,hefajote,,
ফলে,fole,,
কারও,karo,,
পরিচালক,porichalok,,
যখন,zokhon,,
বিরোধী,birodhi,,
নির্বাহী,nirbahi,,
কয়েকটি,koyekti,,
আটক,atok,,
কেন,keno,,
এসে,eshe,,
বের,ber,,
থেকেই,thekei,,
কেন্দ্রীয়,kendriyo,,
সৃষ্টি,shrishti,,
করবেন,korben,,
থাকতে,thakte,,
সবাই,shobai,,
অনুষ্ঠানে,onushthane,,
মোহাম্মদ,mohammad,,
করলে,korle,,
মাস,mash,,
সভায়,shovay,shobhay,
ভেঙে,bhenge,venge,
তিনটি,tinti,,
মার্কিন,markin,,
কাছ,kach,,
পক্ষে,pokkhe,,
জানানো,janano,,
উদ্দিন,uddin,,
ভবনের,voboner,,
আলো,alo,,
অব,ob,,
থাকবে,thakbe,,
আলম,alom,,
আইন,ain,,
অর্থ,ortho,,
বিএনপি,bnp,,
বাবা,baba,,
কমিটি,komiti,,
সংখ্যা,shongkhya,,
শ্রমিকদের,shromikder,,
কাজে,kaje,,
অবস্থান,obosthan,,
যাওয়া,zaoya,,
ভারপ্রাপ্ত,bharprapto,varprapto,
শহরের,shohorer,,
আপনার,apnar,,
অনুষ্ঠিত,onushthito,,
সম্মেলনে,shommelone,,
ছয়,choy,,
গ্রামে,grame,,
সমাবেশ,shomabesh,,
পেয়ে,peye,,
সম্প্রতি,shomproti,,
আহ্বান,ahban,,
সম্পর্কে,shomporke,,
বলতে,bolte,,
পক্ষ,pokkhe,,
ব্যক্তিদের,byaktider,,
টাকার,takar,,
ছোট,choto,,
সমস্যা,somosya,,
প্রশ্ন,proshno,,
উল্লেখ,ullekh,,
মাত্র,matro,,
বাইরে,baire,,
দশমিক,doshomik,,
হত্যা,hotya,,
তাহলে,tahole,,
বর্তমান,bortoman,,
পরিষদের,porishoder,,
দক্ষিণ,dokkhin,,
গান,gan,,
মেডিকেল,medical,,
ঠিক,thik,,
জুন,june,,
প্রাথমিক,parthomik,,
থাকার,thakar,,
ছবি,chobi,,
সূত্রে,shutre,,
রকম,rokom,,
পরিবারের,poribarer,,
চাইলে,chaile,,
উন্নয়ন,unnoyon,,
দলীয়,doliyo,,
ঢাকার,dhakar,,
রেখে,rekkhe,,
প্রয়োজন,proyojon,,
নেন,nen,,
বর্তমানে,bortomane,,
পরবর্তী,poroborti,,
সময়ে,shomoye,,
বিকেলে,bikele,,
বাজারে,bajare,,
ঘটে,ghote,,
রাজধানীর,rajdhanir,,
ভারতের,bharoter,varoter,
মামলায়,mamlay,,
গুরুত্বপূর্ণ,guruttopurno,,
আগের,ager,,
সুবিধা,shubidha,,
আছেন,achen,,
গেলে,gele,,
দেখে,dekhe,,
মাসে,mase,,
ফিরে,fire,,
ইউনিয়ন,union,,
স্থানে,sthane,,
পরিস্থিতি,poristhiti,,
আহমেদ,ahmed,,
সড়ক,shorok,,
মাঠে,mathe,,
প্রার্থী,parthi,,
পাশে,pashe,,
আয়োজন,ayojon,,
সংশ্লিষ্ট,shonglishto,,
বিক্রি,bikri,,
নির্বাচনের,nirbachoner,,
ক্ষতিগ্রস্ত,khotigrosto,,
জড়িত,jorito,,
প্রতিবেদন,protibedon,,
হয়তো,hoyto,,
ই,e,,
প্রতিষ্ঠান,protishtan,,
কোচ,koch,,
হার,har,,
বিদ্যালয়ের,bidyaloyer,,
সারা,sara,,
সেটা,seta,,
বাংলা,bangla,,
পরও,poro,,
তাতে,tate,,
ঢাকায়,dhakay,,
আশা,asha,,
এত,eto,,
আমাকে,amake,,
কারখানার,karkhanar,,
দাম,dam,,
দেখতে,dekhte,,
পড়েছে,poreche,,
আদালতে,adalote,,
কয়েকজন,koyekjon,,
রাখতে,rakhte,,
নির্দেশ,nirdesh,,
ওসি,oc,,
যুক্তরাষ্ট্রের,zuktorashtrer,,
থানায়,thanay,,
আবেদন,abedon,,
মামলার,malar,,
দুপুরে,dupure,,
বাড়িতে,barite,,
কর্মসূচি,kormoshuchi,,
